Country,Athlete
Afghanistan,3
Albania,6
Algeria,68
American Samoa,4
Andorra,5
Angola,26
Antigua and Barbuda,9
Argentina,223
Armenia,32
Aruba,7
Australia,431
Austria,71
Azerbaijan,56
Bahamas,30
Bahrain,34
Bangladesh,7
Barbados,11
Belarus,124
Belgium,108
Belize,3
Benin,6
Bermuda,8
Bhutan,2
Bolivia,12
Bosnia and Herzegovina,10
Botswana,12
Brazil,485
British Virgin Islands,4
Brunei,3
Bulgaria,50
Burkina Faso,5
Burma,7
Burundi,9
Cambodia,6
Cameroon,24
Canada,321
Cape Verde,5
Cayman Islands,5
Central African Republic,6
Chad,2
Chile,42
China,404
Colombia,154
Comoros,4
Congo,14
Cook Islands,9
Costa Rica,11
Cote d'Ivoire,12
Croatia,88
Cuba,123
Cyprus,16
Czech Republic,104
Denmark,128
Djibouti,7
Dominica,2
Dominican Republic,29
East Timor (Timor-Leste),3
Ecuador,38
Egypt,122
El Salvador,8
Equatorial Guinea,2
Eritrea,12
Estonia,46
Ethiopia,38
Fiji,54
Finland,54
France,410
Gabon,6
Gambia,4
Georgia,40
Germany,441
Ghana,16
Greece,93
Grenada,7
Guam,5
Guatemala,21
Guinea,5
Guinea-Bissau,5
Guyana,6
Haiti,10
Honduras,30
Hong Kong,38
Hungary,154
Iceland,8
India,123
Indonesia,28
Iran,64
Iraq,26
Ireland,80
Israel,47
Italy,312
Jamaica,57
Japan,346
Jordan,8
Kazakhstan,103
Kenya,80
Kyrgyzstan,19
Laos,6
Latvia,32
Lebanon,9
Lesotho,8
Liberia,2
Libya,7
Liechtenstein,3
Lithuania,67
Luxembourg,10
Macedonia,6
Madagascar,6
Malawi,5
Malaysia,32
Maldives,4
Mali,6
Malta,7
Mauritania,2
Mauritius,11
Mexico,126
Micronesia,5
Moldova,23
Monaco,3
Mongolia,43
Morocco,49
Mozambique,6
Namibia,10
Nauru,2
Nepal,7
Netherlands,249
New Zealand,208
Nicaragua,5
Niger,6
Nigeria,78
North Korea,31
Norway,62
Oman,4
Pakistan,7
Palau,5
Palestine,1
"Palestine, Occupied Territories",5
Panama,10
Papua New Guinea,8
Paraguay,11
Peru,29
Philippines,13
Poland,242
Portugal,95
Puerto Rico,40
Qatar,39
Russia,286
Rwanda,7
Saint Kitts and Nevis,7
Saint Lucia,5
Saint Vincent and the Grenadines,4
Samoa,8
San Marino,5
Sao Tome and Principe,3
Saudi Arabia,11
Senegal,22
Seychelles,10
Sierra Leone,4
Singapore,25
Slovakia,51
Slovenia,63
Solomon Islands,3
Somalia,2
South Africa,146
South Korea,213
Spain,313
Sri Lanka,9
Sudan,6
Suriname,6
Swaziland,2
Sweden,164
Switzerland,104
Syria,7
Taiwan,56
Tajikistan,7
Tanzania,7
Thailand,54
Togo,5
Tonga,7
Trinidad and Tobago,2
Tunisia,61
Turkey,103
Turkmenistan,9
Uganda,21
Ukraine,205
United Arab Emirates,13
United Kingdom,374
United States,567
Uruguay,17
Uzbekistan,70
Vanuatu,4
Venezuela,88
Vietnam,23
Virgin Islands,7
Yemen,3
Zambia,7
Zimbabwe,35
Democratic Republic of the Congo, 0
South Sudan, 0
