Index,ID,Name,Continent,Country,Nationality,Sex,DOB,Age,Height,Weight,Sport,Gold,Silver,Bronze,Total_Medal
0,736041664,A Jesus Garcia,Europe,Spain,ESP,male,10/17/69,47,1.72,64,athletics,0,0,0,0
1,532037425,A Lam Shin,Asia,South Korea,KOR,female,9/23/86,30,1.68,56,fencing,0,0,0,0
2,435962603,Aaron Brown,America,Canada,CAN,male,5/27/92,24,1.98,79,athletics,0,0,1,1
3,521041435,Aaron Cook,Europe,Moldova,MDA,male,1/2/1991,25,1.83,80,taekwondo,0,0,0,0
4,33922579,Aaron Gate,Oceania,New Zealand,NZL,male,11/26/90,26,1.81,71,cycling,0,0,0,0
5,173071782,Aaron Royle,Oceania,Australia,AUS,male,1/26/90,26,1.8,67,triathlon,0,0,0,0
6,266237702,Aaron Russell,America,United States,USA,male,6/4/1993,23,2.05,98,volleyball,0,0,1,1
7,382571888,Aaron Younger,Oceania,Australia,AUS,male,9/25/91,25,1.93,100,aquatics,0,0,0,0
8,87689776,Aauri Lorena Bokesa,Europe,Spain,ESP,female,12/14/88,28,1.8,62,athletics,0,0,0,0
9,997877719,Ababel Yeshaneh,Africa,Ethiopia,ETH,female,7/22/91,25,1.65,54,athletics,0,0,0,0
10,343694681,Abadi Hadis,Africa,Ethiopia,ETH,male,11/6/1997,19,1.7,63,athletics,0,0,0,0
11,591319906,Abbas Abubakar Abbas,Asia,Bahrain,BRN,male,5/17/96,20,1.75,66,athletics,0,0,0,0
12,258556239,Abbas Qali,,,IOA,male,10/11/1992,24,,,aquatics,0,0,0,0
13,376068084,Abbey D'Agostino,America,United States,USA,female,5/25/92,24,1.61,49,athletics,0,0,0,0
14,162792594,Abbey Weitzeil,America,United States,USA,female,12/3/1996,20,1.78,68,aquatics,1,1,0,2
15,521036704,Abbie Brown,Europe,United Kingdom,GBR,female,4/10/1996,20,1.76,71,rugby sevens,0,0,0,0
16,149397772,Abbos Rakhmonov,Asia,Uzbekistan,UZB,male,7/7/1998,18,1.61,57,wrestling,0,0,0,0
17,256673338,Abbubaker Mobara,Africa,South Africa,RSA,male,2/18/94,22,1.75,64,football,0,0,0,0
18,337369662,Abby Erceg,Oceania,New Zealand,NZL,female,11/20/89,27,1.75,68,football,0,0,0,0
19,334169879,Abd Elhalim Mohamed Abou,Africa,Egypt,EGY,male,6/3/1989,27,2.1,88,volleyball,0,0,0,0
20,215053268,Abdalaati Iguider,Africa,Morocco,MAR,male,3/25/87,29,1.73,57,athletics,0,0,0,0
21,763711985,Abdalelah Haroun,Asia,Qatar,QAT,male,1/1/1997,19,1.85,80,athletics,0,0,0,0
22,924593601,Abdalla Targan,Africa,Sudan,SUD,male,9/28/96,20,1.77,65,athletics,0,0,0,0
23,578032534,Abdel Aziz Mehelba,Africa,Egypt,EGY,male,12/10/1988,28,1.76,80,shooting,0,0,0,0
24,890222258,Abdelati El Guesse,Africa,Morocco,MAR,male,2/27/93,23,1.9,72,athletics,0,0,0,0
25,803161695,Abdelaziz Merzougui,Europe,Spain,ESP,male,8/30/91,25,1.75,67,athletics,0,0,0,0
26,189931373,Abdelaziz Mohamed Ahmed,Africa,Sudan,SUD,male,10/12/1994,22,1.81,72,aquatics,0,0,0,0
27,677622742,Abdelghani Demmou,Africa,Algeria,ALG,male,1/29/89,27,1.85,75,football,0,0,0,0
28,349871091,Abdelhafid Benchabla,Africa,Algeria,ALG,male,9/26/86,30,1.86,,boxing,0,0,0,0
29,904808208,Abdelhakim Amokrane,Africa,Algeria,ALG,male,5/10/1994,22,1.86,70,football,0,0,0,0
30,23564778,Abdelkader Chadi,Africa,Algeria,ALG,male,12/12/1986,30,1.78,,boxing,0,0,0,0
