Rank,NOC,Gold,Silver,Bronze,Total,Athlete,Female,Male
1,United States,46,37,38,121,567,303,264
2,United Kingdom,27,23,17,67,374,169,205
3,China,26,18,26,70,404,251,153
4,Russia,19,17,20,56,286,142,144
5,Germany,17,10,15,42,441,204,237
6,Japan,12,8,21,41,346,167,179
7,France,10,18,14,42,410,176,234
8,South Korea,9,3,9,21,213,106,107
9,Italy,8,12,8,28,312,144,168
10,Australia,8,11,10,29,431,220,211
11,Netherlands,8,7,4,19,249,139,110
12,Hungary,8,3,4,15,154,66,88
13,Brazil,7,6,6,19,485,216,269
14,Spain,7,4,6,17,313,146,167
15,Kenya,6,6,1,13,80,33,47
16,Jamaica,6,3,2,11,57,31,26
17,Croatia,5,3,2,10,88,19,69
18,Cuba,5,2,4,11,123,35,88
19,New Zealand,4,9,5,18,208,105,103
20,Canada,4,3,15,22,321,191,130
21,Uzbekistan,4,2,7,13,70,23,47
22,Kazakhstan,3,5,10,18,103,48,55
23,Colombia,3,2,3,8,154,76,78
24,Switzerland,3,2,2,7,104,46,58
25,Iran,3,1,4,8,64,9,55
26,Greece,3,1,2,6,93,37,56
27,Argentina,3,1,0,4,223,77,146
28,Denmark,2,6,7,15,128,41,87
29,Sweden,2,6,3,11,164,91,73
30,South Africa,2,6,2,10,146,49,97
31,Ukraine,2,5,4,11,205,118,87
32,Serbia,2,4,2,8,103,45,58
33,Poland,2,3,6,11,242,100,142
34,North Korea,2,3,2,7,31,20,11
35,Belgium,2,2,2,6,108,34,74
35,Thailand,2,2,2,6,54,28,26
37,Slovakia,2,2,0,4,51,19,32
38,Georgia,2,1,4,7,40,10,30
39,Azerbaijan,1,7,10,18,56,14,42
40,Belarus,1,4,4,9,124,70,54
41,Turkey,1,3,4,8,103,48,55
42,Armenia,1,3,0,4,32,8,24
43,Czech Republic,1,2,7,10,104,42,62
44,Ethiopia,1,2,5,8,38,20,18
45,Slovenia,1,2,1,4,63,24,39
46,Indonesia,1,2,0,3,28,11,17
47,Romania,1,1,2,4,0,0,0
48,Bahrain,1,1,0,2,34,14,20
48,Vietnam,1,1,0,2,23,13,10
50,Chinese Taipei,1,0,2,3,0,0,0
51,Bahamas,1,0,1,2,30,13,17
51,Independent Olympic Athletes,1,0,1,2,0,0,0
51,Ivory Coast,1,0,1,2,0,0,0
54,Fiji,1,0,0,1,54,17,37
54,Jordan,1,0,0,1,8,1,7
54,Kosovo,1,0,0,1,0,0,0
54,Puerto Rico,1,0,0,1,40,27,13
54,Singapore,1,0,0,1,25,16,9
54,Tajikistan,1,0,0,1,7,2,5
60,Malaysia,0,4,1,5,32,15,17
61,Mexico,0,3,2,5,126,44,82
62,Venezuela,0,2,1,3,88,25,63
63,Algeria,0,2,0,2,68,10,58
63,Ireland,0,2,0,2,80,27,53
65,Lithuania,0,1,3,4,67,19,48
66,Bulgaria,0,1,2,3,50,21,29
67,India,0,1,1,2,123,56,67
67,Mongolia,0,1,1,2,43,17,26
69,Burundi,0,1,0,1,9,4,5
69,Grenada,0,1,0,1,7,2,5
69,Niger,0,1,0,1,6,2,4
69,Philippines,0,1,0,1,13,6,7
69,Qatar,0,1,0,1,39,2,37
74,Norway,0,0,4,4,62,33,29
75,Egypt,0,0,3,3,122,37,85
75,Tunisia,0,0,3,3,61,20,41
77,Israel,0,0,2,2,47,25,22
78,Austria,0,0,1,1,71,34,37
78,Dominican Republic,0,0,1,1,29,8,21
78,Estonia,0,0,1,1,46,18,28
78,Finland,0,0,1,1,54,28,26
78,Morocco,0,0,1,1,49,19,30
78,Nigeria,0,0,1,1,78,26,52
78,Portugal,0,0,1,1,95,29,66
78,Trinidad and Tobago,0,0,1,1,2,1,1
78,United Arab Emirates,0,0,1,1,13,4,9
79,Afghanistan,0,0,0,0,3,1,2
79,Albania,0,0,0,0,6,3,3
79,American Samoa,0,0,0,0,4,1,3
79,Andorra,0,0,0,0,5,3,2
79,Angola,0,0,0,0,26,18,8
79,Antigua and Barbuda,0,0,0,0,9,2,7
79,Aruba,0,0,0,0,7,4,3
79,Bangladesh,0,0,0,0,7,3,4
79,Barbados,0,0,0,0,11,4,7
79,Belize,0,0,0,0,3,1,2
79,Bermuda,0,0,0,0,8,4,4
79,Benin,0,0,0,0,6,2,4
79,Bhutan,0,0,0,0,2,2,0
79,Bolivia,0,0,0,0,12,6,6
79,Bosnia and Herzegovina,0,0,0,0,10,4,6
79,Botswana,0,0,0,0,12,3,9
79,Brazil,0,0,0,0,485,216,269
79,British Virgin Islands,0,0,0,0,4,3,1
79,Brunei,0,0,0,0,3,1,2
79,Burkina Faso,0,0,0,0,5,2,3
79,Cambodia,0,0,0,0,6,4,2
79,Cameroon,0,0,0,0,24,19,5
79,Cape Verde,0,0,0,0,5,3,2
79,Cayman Islands,0,0,0,0,5,2,3
79,Central African Republic,0,0,0,0,6,3,3
79,Chad,0,0,0,0,2,1,1
79,Chile,0,0,0,0,42,17,25
79,Comoros,0,0,0,0,4,2,2
79,Congo,0,0,0,0,14,5,9
79,Cook Islands,0,0,0,0,9,5,4
