,Rank,NOC,Gold,Population,Silver,Bronze,Total,Athlete,Female,Male
0,1,United States,46,321418820,37,38,121,567,303,264
1,2,United Kingdom,27,65138232,23,17,67,374,169,205
2,3,China,26,1371220000,18,26,70,404,251,153
3,4,Russia,19,144096812,17,20,56,286,142,144
4,5,Germany,17,81413145,10,15,42,441,204,237
5,6,Japan,12,126958472,8,21,41,346,167,179
6,7,France,10,66808385,18,14,42,410,176,234
7,8,South Korea,9,50617045,3,9,21,213,106,107
8,9,Italy,8,60802085,12,8,28,312,144,168
9,10,Australia,8,23781169,11,10,29,431,220,211
10,11,Netherlands,8,16936520,7,4,19,249,139,110
11,12,Hungary,8,9844686,3,4,15,154,66,88
12,13,Brazil,7,207847528,6,6,19,485,216,269
13,14,Spain,7,46418269,4,6,17,313,146,167
14,15,Kenya,6,46050302,6,1,13,80,33,47
15,16,Jamaica,6,2725941,3,2,11,57,31,26
16,17,Croatia,5,4224404,3,2,10,88,19,69
17,18,Cuba,5,11389562,2,4,11,123,35,88
18,19,New Zealand,4,4595700,9,5,18,208,105,103
19,20,Canada,4,35851774,3,15,22,321,191,130
20,21,Uzbekistan,4,31299500,2,7,13,70,23,47
21,22,Kazakhstan,3,17544126,5,10,18,103,48,55
22,23,Colombia,3,48228704,2,3,8,154,76,78
23,24,Switzerland,3,8286976,2,2,7,104,46,58
24,25,Iran,3,79109272,1,4,8,64,9,55
25,26,Greece,3,10823732,1,2,6,93,37,56
26,27,Argentina,3,43416755,1,0,4,223,77,146
27,28,Denmark,2,5676002,6,7,15,128,41,87
28,29,Sweden,2,9798871,6,3,11,164,91,73
29,30,South Africa,2,54956920,6,2,10,146,49,97
30,31,Ukraine,2,45198200,5,4,11,205,118,87
31,32,Serbia,2,7098247,4,2,8,103,45,58
32,33,Poland,2,37999494,3,6,11,242,100,142
33,34,North Korea,2,25155317,3,2,7,31,20,11
34,35,Belgium,2,11285721,2,2,6,108,34,74
35,35,Thailand,2,67959359,2,2,6,54,28,26
36,37,Slovakia,2,5424050,2,0,4,51,19,32
37,38,Georgia,2,3679000,1,4,7,40,10,30
38,39,Azerbaijan,1,9651349,7,10,18,56,14,42
39,40,Belarus,1,9513000,4,4,9,124,70,54
40,41,Turkey,1,78665830,3,4,8,103,48,55
41,42,Armenia,1,3017712,3,0,4,32,8,24
42,43,Czech Republic,1,10551219,2,7,10,104,42,62
43,44,Ethiopia,1,99390750,2,5,8,38,20,18
44,45,Slovenia,1,2063768,2,1,4,63,24,39
45,46,Indonesia,1,257563815,2,0,3,28,11,17
46,47,Romania,1,19832389,1,2,4,0,0,0
47,48,Bahrain,1,1377237,1,0,2,34,14,20
48,48,Vietnam,1,91703800,1,0,2,23,13,10
49,50,Chinese Taipei,1,23780000,0,2,3,0,0,0
50,51,Bahamas,1,388019,0,1,2,30,13,17
51,51,Independent Olympic Athletes,1,,0,1,2,0,0,0
52,51,Ivory Coast,1,,0,1,2,0,0,0
53,54,Fiji,1,892145,0,0,1,54,17,37
54,54,Jordan,1,7594547,0,0,1,8,1,7
55,54,Kosovo,1,,0,0,1,0,0,0
56,54,Puerto Rico,1,3474182,0,0,1,40,27,13
57,54,Singapore,1,5535002,0,0,1,25,16,9
58,54,Tajikistan,1,8481855,0,0,1,7,2,5
59,60,Malaysia,0,30331007,4,1,5,32,15,17
60,61,Mexico,0,127017224,3,2,5,126,44,82
61,62,Venezuela,0,31108083,2,1,3,88,25,63
62,63,Algeria,0,39666519,2,0,2,68,10,58
63,63,Ireland,0,4640703,2,0,2,80,27,53
64,65,Lithuania,0,2910199,1,3,4,67,19,48
65,66,Bulgaria,0,7177991,1,2,3,50,21,29
66,67,India,0,1311050527,1,1,2,123,56,67
67,67,Mongolia,0,2959134,1,1,2,43,17,26
68,69,Burundi,0,11178921,1,0,1,9,4,5
69,69,Grenada,0,106825,1,0,1,7,2,5
70,69,Niger,0,19899120,1,0,1,6,2,4
71,69,Philippines,0,100699395,1,0,1,13,6,7
72,69,Qatar,0,2235355,1,0,1,39,2,37
73,74,Norway,0,5195921,0,4,4,62,33,29
74,75,Egypt,0,91508084,0,3,3,122,37,85
75,75,Tunisia,0,11107800,0,3,3,61,20,41
76,77,Israel,0,8380400,0,2,2,47,25,22
77,78,Austria,0,8611088,0,1,1,71,34,37
78,78,Dominican Republic,0,10528391,0,1,1,29,8,21
79,78,Estonia,0,1311998,0,1,1,46,18,28
80,78,Finland,0,5482013,0,1,1,54,28,26
81,78,Morocco,0,34377511,0,1,1,49,19,30
82,78,Nigeria,0,182201962,0,1,1,78,26,52
83,78,Portugal,0,10348648,0,1,1,95,29,66
84,78,Trinidad and Tobago,0,1360088,0,1,1,2,1,1
85,78,United Arab Emirates,0,9156963,0,1,1,13,4,9
86,79,Afghanistan,0,32526562,0,0,0,3,1,2
87,79,Albania,0,2889167,0,0,0,6,3,3
88,79,American Samoa,0,55538,0,0,0,4,1,3
89,79,Andorra,0,70473,0,0,0,5,3,2
90,79,Angola,0,25021974,0,0,0,26,18,8
91,79,Antigua and Barbuda,0,91818,0,0,0,9,2,7
92,79,Aruba,0,103889,0,0,0,7,4,3
93,79,Bangladesh,0,160995642,0,0,0,7,3,4
94,79,Barbados,0,284215,0,0,0,11,4,7
95,79,Belize,0,359287,0,0,0,3,1,2
96,79,Bermuda,0,65235,0,0,0,8,4,4
97,79,Benin,0,10879829,0,0,0,6,2,4
98,79,Bhutan,0,774830,0,0,0,2,2,0
99,79,Bolivia,0,10724705,0,0,0,12,6,6
100,79,Bosnia and Herzegovina,0,3810416,0,0,0,10,4,6
101,79,Botswana,0,2262485,0,0,0,12,3,9
102,79,Brazil,0,207847528,0,0,0,485,216,269
103,79,British Virgin Islands,0,30117,0,0,0,4,3,1
104,79,Brunei,0,423188,0,0,0,3,1,2
105,79,Burkina Faso,0,18105570,0,0,0,5,2,3
106,79,Cambodia,0,15577899,0,0,0,6,4,2
